team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Arsenal,,2,2,2,2,6,3,3,4,,2,2,1,3,1,1,3,5,3,1,2,5
Aston Villa,1,,1,2,,2,3,1,1,1,1,1,2,2,1,2,1,2,,1,1,1
Brighton and Hove Albion,2,,1,2,2,1,,,2,,3,,,,7,1,3,,1,1,,
Bristol City,2,1,,1,3,,2,,1,,2,1,2,2,3,,,,,,,
Chelsea,2,1,2,4,6,3,5,5,1,3,3,3,3,,4,3,2,3,3,8,1,6
Everton,1,,1,,1,,2,2,1,1,1,,,2,1,1,,1,2,1,2,4
Leicester City,4,1,1,,1,2,1,2,2,1,,1,,5,,,2,2,,,1,
Liverpool,1,2,,1,2,1,1,4,1,2,1,,1,1,4,3,,1,1,4,1,4
Manchester City,2,1,5,1,1,,3,7,2,4,5,2,2,1,2,4,3,4,5,4,1,2
Manchester United,2,2,1,5,2,5,1,2,4,1,1,2,2,1,2,2,2,4,2,2,,
Tottenham Hotspur,1,3,3,4,1,1,1,,,1,4,,1,1,,1,1,2,1,2,,3
West Ham United,,2,,1,2,,2,,,1,3,2,2,,1,1,,,,1,1,1